#Release 10.1.03 - par K.39 (nt)
#Copyright (c) 1995-2008 Xilinx, Inc.  All rights reserved.

#Fri May 10 19:13:27 2024

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       digitmemory_map.ncd
#OUTPUT FILE:      digitmemory_pad.csv
#PART TYPE:        xc2s15
#SPEED GRADE:      -6
#PACKAGE:          tq144
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,DCI Value,IO Register,Signal Integrity,
P1,,,VCCO,,,0,,,,,3.30,,,,,
P2,,,TCK,,,,,,,,,,,,,
P3,switch_value<7>,IOB,IO,INPUT,LVTTL*,0,,,,NONE,,LOCATED,,NO,NONE,
P4,switch_value<6>,IOB,IO,INPUT,LVTTL*,0,,,,NONE,,LOCATED,,NO,NONE,
P5,switch_value<5>,IOB,IO_VREF_0,INPUT,LVTTL*,0,,,,NONE,,LOCATED,,NO,NONE,
P6,switch_value<4>,IOB,IO,INPUT,LVTTL*,0,,,,NONE,,LOCATED,,NO,NONE,
P7,switch_value<3>,IOB,IO,INPUT,LVTTL*,0,,,,NONE,,LOCATED,,NO,NONE,
P8,,,GND,,,,,,,,,,,,,
P9,,,VCCINT,,,,,,,,2.5,,,,,
P10,switch_value<2>,IOB,IO,INPUT,LVTTL*,0,,,,NONE,,LOCATED,,NO,NONE,
P11,,IOB,IO,UNUSED,,0,,,,,,,,,,
P12,,IOB,IO_VREF_0,UNUSED,,0,,,,,,,,,,
P13,,IOB,IO,UNUSED,,0,,,,,,,,,,
P14,,,VCCINT,,,,,,,,2.5,,,,,
P15,,GCLKIOB,GCK3,UNUSED,,0,,,,,,,,,,
P16,,,VCCO,,,0,,,,,3.30,,,,,
P17,,,GND,,,,,,,,,,,,,
P18,clk,GCLKIOB,GCK2,INPUT,LVTTL*,1,,,,NONE,,LOCATED,,NO,NONE,
P19,switch_value<1>,IOB,IO,INPUT,LVTTL*,1,,,,NONE,,LOCATED,,NO,NONE,
P20,switch_value<0>,IOB,IO,INPUT,LVTTL*,1,,,,NONE,,LOCATED,,NO,NONE,
P21,,IOB,IO_VREF_1,UNUSED,,1,,,,,,,,,,
P22,,IOB,IO,UNUSED,,1,,,,,,,,,,
P23,,IOB,IO,UNUSED,,1,,,,,,,,,,
P24,,,VCCINT,,,,,,,,2.5,,,,,
P25,,,GND,,,,,,,,,,,,,
P26,,IOB,IO,UNUSED,,1,,,,,,,,,,
P27,,IOB,IO,UNUSED,,1,,,,,,,,,,
P28,,IOB,IO_VREF_1,UNUSED,,1,,,,,,,,,,
P29,,IOB,IO,UNUSED,,1,,,,,,,,,,
P30,,IOB,IO_WRITE,UNUSED,,1,,,,,,,,,,
P31,,IOB,IO_CS,UNUSED,,1,,,,,,,,,,
P32,,,TDI,,,,,,,,,,,,,
P33,,,GND,,,,,,,,,,,,,
P34,,,TDO,,,,,,,,,,,,,
P35,,,VCCO,,,0,,,,,3.30,,,,,
P36,,,VCCO,,,1,,,,,3.30,,,,,
P37,,,CCLK,,,,,,,,,,,,,
P38,,IOB,IO_DOUT_BUSY,UNUSED,,2,,,,,,,,,,
P39,,IOB,IO_DIN_D0,UNUSED,,2,,,,,,,,,,
P40,digit_number2<2>,IOB,IO,OUTPUT,LVTTL*,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P41,digit_number2<4>,IOB,IO_VREF_2,OUTPUT,LVTTL*,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P42,,,NC,,,,,,,,,,,,,
P43,digit_number2<3>,IOB,IO,OUTPUT,LVTTL*,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P44,digit_number1<3>,IOB,IO_D1,OUTPUT,LVTTL*,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P45,,,GND,,,,,,,,,,,,,
P46,digit_number1<4>,IOB,IO_D2,OUTPUT,LVTTL*,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P47,digit_number1<2>,IOB,IO,OUTPUT,LVTTL*,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P48,digit_number1<6>,IOB,IO_VREF_2,OUTPUT,LVTTL*,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P49,digit_number1<0>,IOB,IO_D3,OUTPUT,LVTTL*,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P50,digit_number1<5>,IOB,IO,OUTPUT,LVTTL*,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P51,digit_number1<1>,IOB,IO_IRDY,OUTPUT,LVTTL*,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P52,,,GND,,,,,,,,,,,,,
P53,,,VCCO,,,1,,,,,3.30,,,,,
P54,digit_number2<1>,IOB,IO_TRDY,OUTPUT,LVTTL*,3,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P55,,,VCCINT,,,,,,,,2.5,,,,,
